course,year,skill,self_rating,projects_completed,level
B.Tech AI & ML,1,SQL,5,6,Advanced
B.Tech Data Science,2,Cybersecurity,1,0,Beginner
BBA,2,Apache Spark,1,5,Intermediate
B.Tech Mechanical,1,Machine Learning,2,1,Intermediate
B.Sc Data Science,4,Power BI,4,4,Advanced
B.Tech EEE,1,Data Warehousing,4,5,Advanced
B.Tech AI & ML,1,Data Visualization,1,1,Beginner
B.Sc Mathematics,4,Data Warehousing,3,1,Intermediate
B.Sc Information Technology,4,Pandas,4,5,Advanced
M.Tech,1,Terraform,2,6,Intermediate
B.Sc Computer Science,1,Product Analytics,2,1,Intermediate
B.Sc Mathematics,2,Testing,3,0,Intermediate
B.Tech IT,1,Research,3,2,Intermediate
B.Tech IT,3,Machine Learning,2,3,Intermediate
M.Sc Statistics,1,A/B Testing,3,6,Advanced
B.Sc Data Science,3,Transformers,3,1,Intermediate
B.Tech EEE,1,Git,3,4,Intermediate
B.Tech Data Science,2,Data Visualization,5,2,Advanced
B.Sc Mathematics,4,CI/CD,2,4,Intermediate
M.Sc Statistics,4,Terraform,4,6,Advanced
B.Sc Data Science,1,Computer Vision,3,5,Advanced
M.Sc Data Science,4,Data Visualization,1,1,Beginner
B.Tech EEE,4,OOP,1,3,Intermediate
B.Tech CSE,2,AWS,2,6,Advanced
M.Sc Computer Science,1,Git,4,6,Advanced
B.Tech IT,1,ETL,2,0,Beginner
B.Tech Mechanical,4,CI/CD,2,3,Intermediate
B.Tech Mechanical,2,Python,5,4,Advanced
M.Sc Statistics,4,Calculus,5,0,Advanced
B.Sc Statistics,4,Terraform,3,6,Advanced
B.Com,1,Deep Learning,5,5,Advanced
M.Tech,3,Data Warehousing,3,1,Intermediate
B.Sc Statistics,3,OpenCV,4,3,Advanced
BCA,2,System Design,2,6,Intermediate
B.Sc Data Science,3,Incident Response,5,2,Advanced
B.Tech CSE,3,Web Security,3,1,Intermediate
M.Tech,2,MySQL,5,5,Advanced
B.Sc Computer Science,1,Communication,4,4,Advanced
B.Sc Computer Science,3,Cybersecurity,3,2,Intermediate
B.Tech Civil,4,NumPy,2,4,Advanced
B.Tech AI & ML,4,Excel,1,3,Beginner
B.Tech Mechanical,3,NLP,4,2,Advanced
B.Tech Civil,3,Data Warehousing,3,3,Intermediate
M.Sc Computer Science,3,Apache Spark,5,0,Advanced
BCA,4,Business Analysis,4,2,Advanced
B.Tech EEE,2,Calculus,4,6,Advanced
MBA,2,Research,4,6,Advanced
B.Com,3,Data Warehousing,3,5,Advanced
B.Sc Computer Science,4,FastAPI,4,6,Advanced
M.Sc Statistics,1,Power BI,3,3,Intermediate
MBA,2,Scikit-learn,5,2,Advanced
B.Tech IT,3,Networking,2,5,Intermediate
M.Sc Data Science,3,Incident Response,2,0,Beginner
M.Tech,3,Cybersecurity,5,6,Advanced
BCA,4,Linear Algebra,4,6,Advanced
M.Tech,4,SIEM,5,3,Advanced
BCA,4,PyTorch,3,0,Intermediate
M.Tech,1,Apache Spark,2,6,Intermediate
M.Tech,3,PostgreSQL,1,5,Beginner
B.Tech ECE,3,Product Analytics,5,6,Advanced
B.Tech CSE,3,Networking,1,5,Intermediate
M.Sc Data Science,4,NLP,5,2,Advanced
B.Tech Data Science,2,Communication,5,5,Advanced
B.Com,3,NLP,1,5,Intermediate
B.Sc Mathematics,3,Backup and Recovery,1,0,Beginner
MBA,4,Git,5,4,Advanced
MBA,4,Pandas,5,6,Advanced
B.Sc Computer Science,2,PyTorch,5,4,Advanced
B.Tech AI & ML,3,Docker,1,2,Beginner
M.Sc Statistics,1,Product Analytics,1,4,Beginner
B.Tech Civil,3,Computer Vision,5,0,Advanced
B.Tech Civil,3,CI/CD,2,6,Intermediate
B.Tech EEE,4,Testing,4,0,Intermediate
B.Sc Mathematics,2,Database Administration,3,6,Advanced
B.Tech ECE,3,Linear Algebra,3,1,Intermediate
M.Sc Computer Science,2,Database Security,5,3,Advanced
M.Sc Data Science,1,Machine Learning,4,3,Advanced
B.Tech Civil,1,PyTorch,3,3,Intermediate
BCA,3,Pandas,4,5,Advanced
B.Tech Data Science,2,Cryptography,2,5,Intermediate
M.Sc Data Science,3,Apache Spark,5,6,Advanced
B.Sc Mathematics,4,AWS,5,1,Advanced
B.Tech EEE,1,Git,3,5,Advanced
B.Tech Data Science,1,Computer Vision,3,5,Intermediate
B.Sc Information Technology,2,Linux,3,6,Advanced
B.Sc Computer Science,1,Transformers,1,0,Beginner
B.Sc Computer Science,2,Data Warehousing,1,5,Intermediate
M.Sc Statistics,1,ETL,3,4,Intermediate
B.Tech Data Science,2,Business Analysis,5,3,Advanced
B.Tech CSE,2,Linear Algebra,5,3,Advanced
B.Tech EEE,2,OpenCV,5,3,Advanced
B.Sc Computer Science,3,System Design,5,2,Advanced
B.Tech EEE,2,Backup and Recovery,2,1,Intermediate
B.Sc Computer Science,1,Power BI,2,6,Intermediate
B.Com,4,Machine Learning,4,3,Advanced
BBA,2,Incident Response,1,2,Beginner
M.Sc Statistics,3,Apache Spark,1,3,Beginner
B.Tech Civil,3,Incident Response,3,3,Intermediate
B.Tech Data Science,3,Linux,2,4,Intermediate
M.Sc Data Science,1,REST API,4,0,Intermediate
B.Tech Mechanical,4,Testing,1,5,Intermediate
M.Sc Statistics,1,Linux,2,5,Advanced
M.Sc Statistics,4,Database Administration,1,0,Beginner
B.Tech CSE,1,Web Security,2,5,Intermediate
M.Sc Statistics,3,Testing,5,1,Advanced
B.Tech CSE,4,Cryptography,1,0,Beginner
M.Sc Data Science,2,Product Analytics,3,2,Intermediate
B.Tech Civil,3,FastAPI,3,5,Advanced
B.Tech IT,2,Algorithms,1,4,Intermediate
B.Tech Mechanical,2,ETL,5,4,Advanced
B.Tech CSE,1,Machine Learning,5,2,Advanced
B.Tech AI & ML,2,Algorithms,5,5,Advanced
B.Tech EEE,2,System Design,1,0,Beginner
B.Tech EEE,1,ETL,3,5,Advanced
B.Tech Data Science,1,Data Structures,5,2,Advanced
B.Tech EEE,4,Python,1,3,Beginner
MBA,3,Incident Response,1,3,Beginner
MBA,2,Cybersecurity,3,6,Advanced
M.Sc Computer Science,2,OpenCV,5,2,Advanced
B.Tech Civil,3,MySQL,5,5,Advanced
B.Sc Information Technology,3,Calculus,1,5,Intermediate
M.Sc Statistics,3,Database Administration,3,4,Intermediate
B.Tech EEE,1,AWS,4,0,Intermediate
B.Tech IT,3,Deep Learning,2,1,Intermediate
B.Tech IT,2,Calculus,5,2,Advanced
B.Tech Mechanical,1,NumPy,3,2,Intermediate
B.Tech CSE,4,Cryptography,4,4,Advanced
B.Tech EEE,4,Apache Spark,2,6,Intermediate
B.Tech EEE,4,Docker,4,4,Advanced
MCA,2,Incident Response,1,5,Intermediate
M.Sc Statistics,4,Data Structures,3,1,Intermediate
M.Sc Computer Science,1,Deep Learning,4,6,Advanced
M.Tech,2,Tableau,1,0,Beginner
B.Tech CSE,2,Backup and Recovery,5,5,Advanced
BBA,2,Business Analysis,4,4,Advanced
B.Tech Data Science,4,Research,4,1,Intermediate
M.Sc Data Science,1,Incident Response,2,4,Intermediate
BCA,3,Research,5,5,Advanced
B.Tech Mechanical,2,Linear Algebra,5,0,Advanced
B.Tech Mechanical,4,Web Security,1,1,Beginner
M.Sc Computer Science,3,Cryptography,1,6,Intermediate
B.Tech AI & ML,1,Transformers,5,1,Advanced
B.Tech AI & ML,4,OpenCV,4,3,Advanced
B.Tech Civil,3,SQL,4,2,Intermediate
B.Tech AI & ML,2,Product Analytics,4,1,Advanced
MCA,4,Data Structures,1,4,Beginner
BBA,4,Excel,2,2,Intermediate
BBA,2,Testing,1,3,Intermediate
B.Tech IT,4,Algorithms,2,2,Intermediate
B.Tech ECE,4,Power BI,5,1,Advanced
B.Tech Mechanical,4,System Design,2,4,Intermediate
B.Sc Statistics,4,PyTorch,5,5,Advanced
MBA,3,Database Administration,3,5,Advanced
M.Tech,4,Transformers,2,3,Intermediate
B.Tech Mechanical,4,Incident Response,2,0,Intermediate
B.Tech Civil,2,Data Visualization,4,2,Advanced
B.Tech EEE,3,Calculus,1,6,Intermediate
B.Sc Information Technology,3,Machine Learning,5,5,Advanced
B.Sc Computer Science,1,Python,4,0,Advanced
MCA,2,SQL,5,2,Advanced
B.Tech AI & ML,3,Docker,3,6,Advanced
B.Sc Computer Science,2,Calculus,5,3,Advanced
B.Tech Data Science,3,Networking,4,3,Advanced
B.Tech Data Science,1,Web Security,1,0,Beginner
M.Sc Data Science,2,Tableau,3,1,Intermediate
B.Tech Mechanical,1,Computer Vision,2,0,Intermediate
M.Tech,4,Product Analytics,2,3,Intermediate
B.Sc Data Science,1,Git,1,0,Beginner
B.Sc Data Science,3,Pandas,5,1,Advanced
B.Sc Mathematics,2,Research,1,3,Intermediate
B.Tech Civil,3,Incident Response,5,5,Advanced
B.Tech Civil,1,Machine Learning,4,6,Advanced
B.Sc Information Technology,1,MySQL,2,1,Intermediate
B.Tech IT,3,Deep Learning,5,0,Advanced
B.Tech CSE,2,Linear Algebra,3,5,Advanced
B.Tech EEE,3,Web Security,5,5,Advanced
B.Tech AI & ML,1,PyTorch,4,2,Advanced
B.Sc Data Science,1,Data Structures,4,4,Advanced
B.Tech CSE,3,Web Security,5,0,Advanced
BBA,4,Data Visualization,1,4,Intermediate
BBA,3,Power BI,5,2,Advanced
M.Sc Data Science,3,Data Structures,3,4,Advanced
MCA,4,Python,3,1,Intermediate
B.Sc Statistics,1,Data Structures,3,3,Intermediate
B.Com,1,FastAPI,1,3,Intermediate
B.Tech IT,1,Linear Algebra,2,3,Intermediate
BCA,3,Python,1,0,Beginner
M.Sc Computer Science,1,REST API,3,3,Advanced
MCA,1,Business Analysis,3,4,Advanced
B.Tech AI & ML,3,SQL,2,2,Beginner
MBA,1,Kubernetes,1,3,Beginner
B.Sc Computer Science,4,Backup and Recovery,2,6,Advanced
B.Com,4,Database Security,4,5,Advanced
BBA,1,SIEM,4,5,Advanced
B.Tech ECE,4,Pandas,1,4,Beginner
MBA,4,Business Analysis,1,1,Beginner
M.Tech,2,Transformers,4,6,Advanced
B.Sc Statistics,2,CI/CD,4,1,Advanced
B.Sc Information Technology,1,Docker,2,1,Beginner
B.Tech AI & ML,1,Git,1,4,Beginner
MBA,4,Apache Spark,3,6,Advanced
MCA,2,Incident Response,2,6,Intermediate
B.Tech Civil,3,PyTorch,3,2,Intermediate
M.Sc Data Science,1,Terraform,1,1,Beginner
B.Tech EEE,2,FastAPI,3,6,Advanced
B.Sc Information Technology,4,Product Analytics,3,0,Intermediate
BBA,1,Linear Algebra,4,1,Advanced
B.Sc Information Technology,2,NumPy,4,2,Advanced
B.Tech ECE,3,Product Analytics,5,3,Advanced
M.Tech,3,OOP,5,4,Advanced
MBA,4,Power BI,5,2,Advanced
B.Tech Data Science,3,Cybersecurity,4,6,Advanced
BBA,4,MySQL,4,6,Advanced
B.Tech EEE,2,Calculus,2,1,Beginner
BCA,1,Tableau,4,4,Advanced
B.Tech CSE,3,NLP,1,2,Beginner
B.Sc Information Technology,2,MySQL,5,5,Advanced
B.Sc Mathematics,3,Product Analytics,1,6,Intermediate
B.Tech Data Science,1,Research,2,1,Beginner
B.Tech Data Science,1,SIEM,5,1,Advanced
B.Tech ECE,1,A/B Testing,3,5,Intermediate
B.Tech Data Science,2,SQL,5,0,Advanced
B.Sc Mathematics,4,Database Security,1,4,Intermediate
B.Tech Civil,2,Linear Algebra,2,3,Intermediate
BBA,3,NumPy,1,3,Intermediate
BBA,3,Networking,4,4,Advanced
B.Com,3,Data Visualization,5,0,Advanced
B.Sc Mathematics,2,Scikit-learn,2,3,Intermediate
B.Tech CSE,2,Scikit-learn,5,0,Advanced
B.Com,2,Research,4,5,Advanced
B.Tech CSE,3,Business Analysis,4,5,Advanced
B.Sc Data Science,3,Kubernetes,5,1,Advanced
B.Tech CSE,2,ETL,3,1,Intermediate
BCA,4,OpenCV,4,4,Advanced
MBA,4,System Design,2,5,Intermediate
M.Tech,2,Research,5,2,Advanced
MCA,1,OOP,3,4,Advanced
B.Tech Data Science,2,Machine Learning,1,3,Intermediate
B.Com,2,Data Warehousing,2,3,Intermediate
MBA,4,Python,3,6,Advanced
B.Sc Data Science,3,AWS,1,1,Beginner
B.Tech Data Science,3,Machine Learning,5,4,Advanced
M.Sc Data Science,1,Database Administration,2,4,Intermediate
B.Com,4,Product Analytics,1,1,Beginner
B.Com,4,Deep Learning,1,5,Intermediate
B.Sc Computer Science,3,OpenCV,5,5,Advanced
B.Tech CSE,2,Research,1,1,Beginner
M.Sc Statistics,2,Statistics,3,5,Intermediate
M.Tech,3,Git,3,1,Intermediate
B.Tech Civil,4,REST API,4,1,Intermediate
B.Sc Mathematics,2,Data Structures,5,0,Advanced
M.Sc Statistics,3,Database Security,4,2,Intermediate
B.Tech Data Science,4,Excel,5,1,Advanced
B.Sc Computer Science,4,Backup and Recovery,5,3,Advanced
B.Sc Computer Science,2,Apache Spark,5,4,Advanced
B.Tech ECE,3,Database Administration,5,6,Advanced
M.Tech,2,Product Analytics,3,5,Intermediate
B.Tech EEE,3,Networking,2,3,Intermediate
B.Tech ECE,3,Python,1,4,Intermediate
M.Sc Computer Science,3,Statistics,4,5,Advanced
B.Com,3,Database Security,4,5,Advanced
B.Tech IT,2,Power BI,3,0,Intermediate
B.Tech ECE,4,Kubernetes,1,5,Intermediate
MBA,3,Networking,1,0,Beginner
B.Sc Statistics,3,Computer Vision,3,3,Intermediate
BCA,2,MySQL,4,2,Intermediate
BCA,1,Cybersecurity,3,6,Advanced
B.Tech Data Science,3,Computer Vision,5,3,Advanced
B.Com,3,Apache Spark,1,6,Intermediate
B.Tech EEE,4,Business Analysis,5,3,Advanced
M.Tech,4,AWS,1,5,Intermediate
B.Sc Computer Science,1,Kubernetes,1,2,Beginner
B.Tech CSE,2,Linear Algebra,2,5,Intermediate
B.Sc Information Technology,2,Pandas,2,6,Advanced
B.Sc Statistics,2,A/B Testing,2,1,Intermediate
B.Tech Data Science,3,NLP,5,5,Advanced
B.Tech Data Science,4,Cryptography,3,6,Advanced
MBA,4,Linux,1,2,Beginner
B.Sc Computer Science,3,Product Analytics,2,0,Beginner
B.Tech AI & ML,1,System Design,1,5,Beginner
B.Tech ECE,2,NLP,1,5,Beginner
B.Sc Statistics,2,Deep Learning,1,2,Beginner
MBA,2,Git,3,4,Intermediate
M.Sc Data Science,1,Backup and Recovery,3,5,Intermediate
B.Tech AI & ML,3,Machine Learning,2,2,Intermediate
B.Sc Data Science,2,Cybersecurity,4,6,Advanced
B.Tech Civil,2,REST API,5,1,Advanced
B.Sc Information Technology,1,Computer Vision,5,5,Advanced
B.Sc Mathematics,3,Data Structures,5,2,Advanced
B.Tech AI & ML,4,Scikit-learn,5,4,Advanced
B.Tech CSE,2,Cryptography,1,4,Intermediate
B.Tech Mechanical,3,Deep Learning,3,6,Advanced
MCA,1,NumPy,3,3,Intermediate
B.Tech ECE,2,Terraform,5,2,Advanced
B.Tech EEE,3,MySQL,1,4,Beginner
B.Tech Civil,3,PyTorch,1,5,Intermediate
B.Tech EEE,2,Cryptography,2,4,Intermediate
MBA,4,PostgreSQL,3,6,Advanced
B.Tech IT,1,Transformers,2,6,Intermediate
MCA,1,CI/CD,2,0,Intermediate
B.Sc Data Science,2,Business Analysis,3,3,Advanced
B.Sc Statistics,1,Web Security,2,4,Intermediate
B.Tech CSE,1,Algorithms,3,4,Intermediate
MBA,1,Backup and Recovery,5,6,Advanced
M.Sc Data Science,3,Kubernetes,5,5,Advanced
B.Tech IT,2,Database Security,4,5,Advanced
M.Sc Computer Science,4,REST API,4,0,Intermediate
B.Sc Computer Science,1,Transformers,2,3,Intermediate
B.Tech IT,4,OpenCV,2,5,Intermediate
B.Sc Computer Science,4,Networking,3,4,Intermediate
B.Sc Mathematics,3,Data Warehousing,2,2,Intermediate
B.Sc Statistics,2,OOP,1,3,Beginner
B.Tech ECE,4,Incident Response,5,0,Advanced
B.Tech AI & ML,2,REST API,2,1,Beginner
MCA,2,MySQL,2,4,Intermediate
B.Tech Civil,4,FastAPI,3,6,Advanced
M.Sc Data Science,2,SIEM,3,6,Advanced
M.Sc Computer Science,2,FastAPI,2,3,Intermediate
M.Sc Computer Science,2,Testing,4,2,Advanced
B.Tech CSE,1,Communication,2,1,Beginner
MCA,4,Excel,4,5,Advanced
B.Sc Computer Science,4,Data Visualization,4,5,Advanced
B.Tech ECE,2,Linear Algebra,3,2,Intermediate
B.Sc Statistics,2,Apache Spark,2,5,Intermediate
M.Sc Data Science,1,Database Administration,1,2,Beginner
B.Tech ECE,1,AWS,2,6,Intermediate
B.Sc Mathematics,2,OOP,2,4,Intermediate
M.Tech,2,Transformers,1,1,Beginner
M.Sc Statistics,2,Research,4,3,Advanced
B.Sc Information Technology,4,CI/CD,3,6,Advanced
BBA,3,Computer Vision,3,5,Advanced
M.Sc Computer Science,3,Communication,4,0,Intermediate
B.Tech CSE,3,Linear Algebra,2,3,Intermediate
B.Tech Mechanical,3,Incident Response,1,5,Intermediate
BCA,1,PostgreSQL,2,2,Intermediate
B.Tech AI & ML,3,Docker,1,4,Beginner
B.Sc Mathematics,3,System Design,2,5,Intermediate
BCA,1,Docker,1,4,Intermediate
BBA,4,NLP,1,1,Beginner
BBA,4,Communication,1,0,Beginner
MBA,4,Data Warehousing,4,3,Advanced
MCA,4,AWS,1,3,Beginner
MCA,1,Cryptography,2,5,Intermediate
B.Tech Mechanical,2,Deep Learning,1,4,Intermediate
B.Sc Mathematics,3,PostgreSQL,1,4,Beginner
B.Sc Computer Science,3,Machine Learning,5,0,Advanced
MCA,3,Transformers,4,3,Advanced
B.Sc Data Science,3,Web Security,2,6,Intermediate
B.Sc Data Science,4,Excel,4,4,Advanced
MCA,4,Docker,3,0,Intermediate
B.Sc Data Science,2,Machine Learning,2,3,Intermediate
B.Sc Data Science,3,Algorithms,1,6,Intermediate
B.Tech Civil,2,Research,2,3,Intermediate
M.Sc Computer Science,1,OOP,1,6,Intermediate
B.Tech Mechanical,2,Web Security,4,6,Advanced
B.Sc Data Science,3,MySQL,2,3,Intermediate
B.Sc Computer Science,1,Product Analytics,1,4,Intermediate
M.Sc Computer Science,3,Power BI,2,6,Intermediate
B.Com,1,Scikit-learn,1,1,Beginner
B.Tech ECE,4,Git,4,2,Advanced
MBA,4,OpenCV,3,6,Advanced
B.Sc Data Science,4,PostgreSQL,1,1,Beginner
B.Tech CSE,3,Database Security,4,4,Advanced
B.Tech Civil,3,REST API,5,4,Advanced
BCA,3,Transformers,2,4,Intermediate
BBA,2,NumPy,3,0,Intermediate
B.Tech Civil,3,OOP,5,5,Advanced
B.Sc Data Science,3,Computer Vision,1,4,Intermediate
B.Tech AI & ML,2,Algorithms,4,2,Advanced
MBA,2,Tableau,1,1,Intermediate
B.Sc Computer Science,4,Backup and Recovery,2,0,Intermediate
B.Tech AI & ML,1,System Design,2,3,Intermediate
B.Tech ECE,4,Tableau,3,6,Intermediate
BBA,1,Data Warehousing,3,5,Advanced
B.Tech Civil,2,Cybersecurity,2,3,Intermediate
B.Sc Computer Science,2,NLP,4,5,Advanced
M.Sc Data Science,2,SIEM,3,1,Intermediate
B.Tech Civil,2,Deep Learning,2,3,Beginner
BCA,1,NumPy,3,0,Intermediate
B.Tech EEE,4,Computer Vision,4,1,Intermediate
B.Tech CSE,1,Computer Vision,1,5,Intermediate
M.Tech,2,Docker,5,6,Advanced
B.Tech CSE,3,Data Warehousing,2,3,Intermediate
M.Tech,3,NumPy,2,1,Intermediate
BBA,1,Backup and Recovery,2,2,Intermediate
M.Sc Computer Science,3,Cybersecurity,4,4,Advanced
M.Sc Statistics,1,Data Structures,2,0,Beginner
B.Sc Information Technology,1,Terraform,3,5,Advanced
M.Sc Statistics,4,Database Security,5,2,Advanced
B.Sc Data Science,3,Linux,2,3,Intermediate
B.Tech IT,1,Networking,3,2,Intermediate
MCA,2,Machine Learning,2,0,Beginner
B.Tech ECE,2,Cryptography,4,0,Intermediate
B.Tech AI & ML,4,OpenCV,1,6,Intermediate
BBA,2,Incident Response,2,0,Beginner
B.Sc Data Science,4,ETL,4,4,Advanced
M.Tech,3,System Design,2,3,Intermediate
MCA,4,Power BI,3,3,Intermediate
B.Tech Data Science,3,Python,3,0,Intermediate
M.Sc Statistics,2,Algorithms,1,2,Beginner
B.Sc Mathematics,1,Backup and Recovery,1,4,Intermediate
M.Sc Data Science,2,Linux,4,4,Advanced
M.Sc Data Science,1,SIEM,3,2,Intermediate
M.Tech,1,Kubernetes,2,5,Intermediate
M.Sc Computer Science,3,Algorithms,4,3,Advanced
B.Tech AI & ML,1,Terraform,2,3,Intermediate
B.Tech EEE,4,Linear Algebra,2,3,Intermediate
B.Tech Mechanical,1,Incident Response,3,2,Intermediate
BBA,4,SIEM,4,2,Advanced
B.Com,2,System Design,4,3,Advanced
M.Sc Computer Science,3,Power BI,1,1,Beginner
B.Sc Information Technology,3,Algorithms,1,2,Beginner
BCA,4,Incident Response,5,5,Advanced
BCA,2,NLP,1,5,Intermediate
MCA,2,Linux,2,2,Beginner
MCA,4,Apache Spark,1,2,Beginner
BCA,3,Deep Learning,4,5,Advanced
B.Sc Statistics,4,Python,5,0,Advanced
B.Tech Data Science,3,Database Administration,4,5,Advanced
M.Sc Computer Science,4,Statistics,2,3,Intermediate
B.Sc Statistics,4,Web Security,2,3,Intermediate
BCA,2,Deep Learning,5,1,Advanced
BCA,3,Networking,4,0,Intermediate
M.Sc Statistics,1,A/B Testing,3,3,Intermediate
M.Sc Statistics,2,Data Warehousing,4,2,Advanced
M.Sc Data Science,2,Testing,3,1,Intermediate
B.Tech Data Science,4,Calculus,4,5,Advanced
B.Com,3,Tableau,3,3,Intermediate
B.Sc Information Technology,1,Data Warehousing,1,2,Beginner
MBA,1,Power BI,3,0,Intermediate
BCA,3,Web Security,2,3,Intermediate
B.Tech AI & ML,1,Research,4,6,Advanced
B.Com,2,Linear Algebra,2,3,Intermediate
M.Sc Data Science,1,Cybersecurity,5,2,Advanced
MBA,3,Database Administration,3,3,Intermediate
M.Tech,1,Product Analytics,2,2,Intermediate
B.Tech AI & ML,2,Statistics,3,3,Beginner
B.Tech Data Science,2,Machine Learning,3,1,Intermediate
B.Tech ECE,1,Machine Learning,3,0,Intermediate
B.Sc Statistics,1,Linux,2,2,Intermediate
B.Sc Data Science,2,Docker,5,0,Advanced
B.Tech EEE,1,A/B Testing,2,0,Intermediate
M.Sc Statistics,4,Networking,5,3,Advanced
B.Sc Computer Science,1,Scikit-learn,3,4,Advanced
M.Sc Statistics,3,ETL,3,2,Intermediate
B.Tech CSE,2,Tableau,3,2,Intermediate
BBA,4,NLP,4,3,Advanced
M.Sc Data Science,1,PostgreSQL,3,2,Intermediate
B.Tech CSE,4,Testing,1,5,Intermediate
B.Sc Mathematics,1,SQL,1,1,Beginner
M.Sc Statistics,4,CI/CD,3,1,Intermediate
B.Tech CSE,1,Docker,3,3,Intermediate
B.Tech CSE,4,REST API,5,4,Advanced
B.Tech Civil,2,PyTorch,3,5,Advanced
B.Tech Data Science,4,Data Structures,3,1,Intermediate
B.Sc Statistics,1,System Design,5,5,Advanced
B.Com,3,Research,3,3,Intermediate
MBA,1,Algorithms,4,6,Advanced
MBA,1,Database Administration,4,3,Advanced
B.Tech AI & ML,3,Terraform,5,2,Advanced
B.Sc Computer Science,2,Scikit-learn,5,5,Advanced
B.Sc Mathematics,3,System Design,1,1,Beginner
B.Tech IT,2,MySQL,1,0,Beginner
B.Tech Civil,1,Data Structures,3,3,Intermediate
B.Sc Computer Science,4,Deep Learning,3,4,Advanced
B.Tech CSE,4,PostgreSQL,5,0,Intermediate
MCA,4,AWS,5,1,Advanced
B.Tech Data Science,2,Networking,2,0,Beginner
B.Sc Computer Science,2,Linear Algebra,2,5,Intermediate
MBA,4,SQL,2,5,Intermediate
B.Sc Computer Science,2,Deep Learning,4,3,Advanced
M.Tech,3,CI/CD,1,3,Beginner
B.Tech CSE,1,Business Analysis,5,6,Advanced
B.Sc Data Science,4,Research,2,4,Intermediate
MCA,1,Transformers,2,4,Intermediate
B.Sc Information Technology,1,Transformers,3,3,Intermediate
B.Sc Data Science,1,ETL,2,5,Intermediate
B.Com,1,Linux,2,0,Intermediate
B.Tech AI & ML,4,Computer Vision,4,1,Intermediate
B.Tech EEE,4,REST API,3,0,Intermediate
B.Tech Civil,1,Terraform,5,4,Advanced
B.Sc Statistics,3,NumPy,2,3,Intermediate
B.Tech Data Science,4,Computer Vision,3,6,Advanced
B.Sc Computer Science,1,Apache Spark,4,5,Advanced
B.Sc Statistics,3,Data Visualization,2,4,Intermediate
B.Com,4,PyTorch,5,5,Advanced
B.Tech Mechanical,4,Backup and Recovery,5,1,Advanced
B.Tech AI & ML,2,Linux,3,5,Advanced
B.Sc Information Technology,1,REST API,3,6,Advanced
MCA,2,Transformers,2,6,Advanced
B.Tech CSE,1,Apache Spark,5,4,Advanced
B.Sc Statistics,2,FastAPI,2,2,Intermediate
B.Tech Data Science,3,Statistics,4,1,Intermediate
B.Com,3,Excel,5,0,Advanced
B.Tech CSE,2,Tableau,1,2,Beginner
B.Tech Data Science,3,PyTorch,4,2,Advanced
B.Tech Civil,1,Tableau,2,6,Intermediate
BBA,4,PyTorch,4,2,Advanced
B.Sc Computer Science,4,MySQL,5,5,Advanced
BCA,2,AWS,2,2,Intermediate
BBA,4,Backup and Recovery,3,4,Intermediate
B.Tech Mechanical,1,Data Visualization,5,0,Advanced
B.Tech IT,1,Communication,3,6,Advanced
B.Tech ECE,4,Docker,2,1,Intermediate
B.Sc Mathematics,4,Algorithms,2,5,Intermediate
BBA,4,Scikit-learn,2,0,Beginner
B.Tech CSE,1,Machine Learning,1,3,Beginner
BCA,3,A/B Testing,2,5,Intermediate
B.Tech AI & ML,3,OpenCV,5,4,Advanced
B.Tech Mechanical,3,Scikit-learn,2,0,Beginner
B.Tech IT,2,Power BI,5,1,Advanced
B.Sc Information Technology,4,AWS,1,0,Beginner
BBA,2,System Design,2,1,Intermediate
MBA,2,System Design,3,2,Intermediate
B.Sc Data Science,4,Web Security,5,1,Advanced
BBA,3,Cybersecurity,1,5,Intermediate
BCA,2,Terraform,1,4,Beginner
B.Tech CSE,3,Apache Spark,3,4,Advanced
B.Sc Computer Science,3,Git,1,5,Intermediate
B.Com,2,Computer Vision,1,2,Intermediate
B.Sc Mathematics,2,AWS,1,3,Intermediate
MCA,3,Data Structures,5,6,Advanced
B.Sc Statistics,3,Calculus,1,0,Beginner
M.Tech,3,Database Security,3,4,Intermediate
B.Tech IT,1,Git,2,6,Intermediate
MBA,4,A/B Testing,4,4,Advanced
B.Sc Statistics,3,Power BI,5,5,Advanced
B.Tech EEE,4,PyTorch,5,6,Advanced
B.Tech Data Science,1,CI/CD,4,0,Intermediate
M.Sc Computer Science,4,Cryptography,5,1,Advanced
M.Tech,2,Power BI,4,3,Advanced
B.Sc Data Science,4,Kubernetes,3,4,Intermediate
B.Tech Civil,1,SQL,1,4,Beginner
M.Sc Statistics,3,A/B Testing,5,1,Advanced
B.Tech ECE,3,FastAPI,4,3,Advanced
M.Sc Data Science,3,Database Administration,3,0,Intermediate
B.Sc Information Technology,3,OpenCV,1,0,Beginner
MBA,4,Incident Response,2,2,Intermediate
B.Tech Data Science,3,OpenCV,4,5,Advanced
B.Tech Civil,4,Data Warehousing,1,6,Intermediate
B.Tech ECE,4,Deep Learning,3,5,Intermediate
MBA,3,Data Visualization,4,1,Intermediate
B.Sc Data Science,1,Data Visualization,1,4,Intermediate
MCA,1,Computer Vision,2,0,Beginner
M.Sc Data Science,4,NumPy,3,5,Advanced
M.Sc Computer Science,3,Business Analysis,2,3,Beginner
BCA,1,Communication,3,4,Intermediate
B.Tech EEE,3,NLP,3,6,Advanced
